id,playername,seasonplayed,age,occupation,hometown,startingtribe,startingtribecolor,timesswapped,mergetribe,mergetribecolor,finalplacement,votescast,correctlyvoted,votesrecieved,votesnegated,tribeimmunities,individualimmunites,tribalsattended,playersonseason,advantagesplayed
180,Gary Hogeboom,Guatemala,46,Former NFL Quarterback,"Grand Haven, MI",Yaxhá,Blue,1,Xhakúm,Red,7,9,6,8,0,2,2,9,18,1
181,Judd Sergeant,Guatemala,34,Hotel Doorman,"Ridgefield, NJ",Nakúm,Yellow,1,Xhakúm,Red,6,8,6,5,0,4,0,8,18,0
182,Cindy Hall,Guatemala,30,Zookeeper,"Naples, FL",Nakúm,Yellow,1,Xhakúm,Red,5,9,6,6,0,4,0,9,18,0
183,Lydia Morales,Guatemala,42,Fishmonger,"Lakewood, WA",Yaxhá,Blue,1,Xhakúm,Red,4,11,10,10,0,3,0,11,18,0
184,Rafe Judkins,Guatemala,22,Wilderness Guide,"Pittsburgh, PA",Yaxhá,Blue,1,Xhakúm,Red,3,11,11,2,0,3,4,12,18,0
185,Stephenie LaGrossa,Guatemala,25,Returning Player,"Toms River, NJ",Yaxhá,Blue,1,Xhakúm,Red,2,11,11,2,0,3,1,12,18,0
186,Danni Boatwright,Guatemala,29,Sports Radio Host,"Tonganoxie, KS",Nakúm,Yellow,1,Xhakúm,Red,1,12,10,1,0,3,2,12,18,0
187,Tina Scheer,Panama,44,Lumberjill,"Hayward, WI",Casaya,Purple,0,No Merge,N/A,16,1,0,3,0,0,0,1,16,0
188,Melinda Hyder,Panama,32,Singer/Songwriter,"Sevierville, TN",Casaya,Purple,1,No Merge,N/A,15,2,1,5,0,0,0,2,16,0
189,Misty Giles,Panama,24,Missile Engineer,"Dallas, TX",Bayoneta,Blue,1,No Merge,N/A,14,1,0,5,0,2,0,1,16,0
190,Ruth Marie Milliman,Panama,48,Property Developer,"Greenville, SC",Casaya,Purple,1,No Merge,N/A,13,3,2,6,0,2,0,3,16,0
191,Bobby Mason,Panama,32,Attorney,"Los Angeles, CA",Viveros,Green,1,No Merge,N/A,12,2,1,3,0,3,0,2,16,0
192,Dan Barry,Panama,51,Astronaut,"South Hadley, MA",La Mina,Orange,1,No Merge,N/A,11,3,1,3,0,3,0,3,16,0
193,Nick Stanbury,Panama,25,Financial Salesman,"Tempe, AZ",Viveros,Green,1,Gitanos,Black,10,4,3,6,0,3,0,4,16,0
194,Austin Carty,Panama,24,Writer,"High Point, NC",Viveros,Green,1,Gitanos,Black,9,5,3,7,0,3,0,5,16,0
195,Sally Schumann,Panama,26,Social Worker,"Chicago, IL",Bayoneta,Blue,1,Gitanos,Black,8,5,1,8,0,3,0,5,16,0
196,Bruce Kanegai,Panama,57,Art Teacher,"Simi Valley, CA",La Mina,Orange,1,Gitanos,Black,7,4,3,2,0,3,0,4,16,0
197,Courtney Marit,Panama,31,Fire Dancer,"Los Angeles, CA",Bayoneta,Blue,1,Gitanos,Black,6,6,5,4,0,4,0,6,16,0
198,Shane Powers,Panama,34,Marketing Executive,"Los Angeles, CA",La Mina,Orange,1,Gitanos,Black,5,7,4,9,0,4,0,7,16,0
199,Cirie Fields,Panama,35,Nurse,"Walterboro, SC",Casaya,Purple,1,Gitanos,Black,4,9,7,3,0,3,0,9,16,0
200,Terry Deitz,Panama,46,Pilot,"Simsbury, CT",La Mina,Orange,1,Gitanos,Black,3,9,4,1,0,3,5,10,16,0
201,Danielle DiLorenzo,Panama,24,Medical Sales Representative,"Pompano Beach, FL",Bayoneta,Blue,1,Gitanos,Black,2,9,9,4,0,4,1,9,16,0
202,Aras Baskauskas,Panama,24,Yoga Instructor,"Santa Monica, CA",Viveros,Green,1,Gitanos,Black,1,8,7,9,0,4,1,9,16,0
203,Sekou Bunch,Cook Islands,45,Jazz Musician,"Los Angeles, CA",Manihiki,Yellow,0,No Merge,N/A,20,1,0,3,0,0,0,1,20,0
204,Billy Garcia,Cook Islands,36,Heavy Metal Musician,"New York City, NY",Aitutaki,Red,0,No Merge,N/A,19,1,0,4,0,1,0,1,20,0
205,Cecilia Mansilla,Cook Islands,29,Risk Consultant,"Oakland, CA",Aitutaki,Red,1,No Merge,N/A,18,2,1,5,0,1,0,2,20,0
206,J.P. Calderon,Cook Islands,30,Professional Volleyball Player,"Long Beach, CA",Aitutaki,Red,1,No Merge,N/A,17,2,1,7,0,2,0,2,20,0
207,Stephannie Favor,Cook Islands,35,Nursing Student,"Columbia, SC",Manihiki,Yellow,1,No Merge,N/A,16,3,2,9,0,2,0,3,20,0
208,Cao Boi Cui,Cook Islands,42,Nail Salon Manager,"Christiansburg, VA",Puka Puka,Green,1,No Merge,N/A,15,2,1,6,0,4,0,2,20,0
209,Cristina Coria,Cook Islands,35,Police Officer,"Los Angeles, CA",Aitutaki,Red,1,No Merge,N/A,14,4,3,5,0,2,0,4,20,0
210,Jessica Smith,Cook Islands,27,Roller Girl,"Chico, CA",Rarotonga,Blue,1,No Merge,N/A,13,3,1,6,0,4,0,3,20,0
211,Brad Virata,Cook Islands,29,Fashion Director,"Santa Monica, CA",Puka Puka,Green,2,No Merge,N/A,12,4,2,7,0,4,0,4,20,0
212,Rebecca Borman,Cook Islands,34,Makeup Artist,"Laurelton, NY",Manihiki,Yellow,2,No Merge,N/A,11,6,5,6,0,3,0,6,20,0
213,Jenny Guzon-Bee,Cook Islands,36,Real Estate Agent,"Lake Forest, IL",Puka Puka,Green,2,No Merge,N/A,10,6,5,6,0,4,0,5,20,0
214,Nate Gonzalez,Cook Islands,25,Shoe Salesman,"Playa del Ray, CA",Manihiki,Yellow,2,Aitutonga,Black,9,7,4,5,0,3,0,6,20,0
215,Candice Woodcock,Cook Islands,23,Pre-Med Student,"Washington, DC",Rarotonga,Blue,2,Aitutonga,Black,8,7,5,6,0,4,0,6,20,0
216,Jonathan Penner,Cook Islands,44,Writer,"Los Angeles, CA",Rarotonga,Blue,2,Aitutonga,Black,7,9,8,15,0,4,0,8,20,0
217,Parvati Shallow,Cook Islands,23,Boxer,"West Hollywood, CA",Rarotonga,Blue,2,Aitutonga,Black,6,10,7,4,0,4,0,9,20,0
218,Adam Gentry,Cook Islands,27,Copier Sales Executive,"San Diego, CA",Rarotonga,Blue,2,Aitutonga,Black,5,11,7,5,0,4,1,10,20,0
219,Sundra Oakley,Cook Islands,31,Actress,"Los Angeles, CA",Manihiki,Yellow,2,Aitutonga,Black,4,10,8,6,0,5,0,10,20,0
220,Becky Lee,Cook Islands,28,Attorney,"Washington, DC",Puka Puka,Green,2,Aitutonga,Black,3,9,9,5,0,6,0,9,20,0
221,Ozzy Lusth,Cook Islands,24,Waiter,"Venice, CA",Aitutaki,Green,2,Aitutonga,Black,2,10,8,1,0,5,5,10,20,0
222,Yul Kwon,Cook Islands,31,Management Consultant,"San Mateo, CA",Puka Puka,Green,2,Aitutonga,Black,1,9,9,5,0,6,0,9,20,0
223,Jessica deBen,Fiji,27,Fashion Stylist,"Los Angeles, CA",Ravu,Orange,0,No Merge,N/A,19,1,0,6,0,0,0,1,19,0
224,Erica Durousseau,Fiji,26,Non-profit Fundraiser,"Baton Rouge, LA",Ravu,Orange,0,No Merge,N/A,18,2,0,6,0,0,0,2,19,0
225,Sylvia Kwan,Fiji,52,Architect,"Ross, CA",Ravu,Orange,0,No Merge,N/A,17,2,1,6,0,0,0,2,19,0
226,Gary Stritesky,Fiji,55,School Bus Driver,"Ramsey, MN",Moto,Green,0,No Merge,N/A,16,0,0,0,0,0,0,0,19,0
227,Liliana Gomez,Fiji,25,Loan Officer,"Los Angeles, CA",Moto,Green,0,No Merge,N/A,15,1,0,6,0,3,0,1,19,0
228,Rita Verreos,Fiji,38,Single Mother,"San Antonio, TX",Ravu,Orange,0,No Merge,N/A,14,4,2,6,0,1,0,4,19,0
229,Anthony Robinson,Fiji,32,Expert Witness Locator,"Compton, CA",Ravu,Orange,1,No Merge,N/A,13,5,3,10,0,1,0,5,19,0
230,Rocky Reid,Fiji,28,Bartender,"Los Angeles, CA",Ravu,Orange,1,No Merge,N/A,12,6,3,5,0,1,0,6,19,0
231,Lisi Linares,Fiji,36,Customer Service Representative,"Los Angeles, CA",Moto,Green,1,No Merge,N/A,11,3,2,7,0,4,0,3,19,0
232,Michelle Yi,Fiji,22,Student,"Cincinatti, OH",Ravu,Orange,1,Bula Bula,Purple,10,5,3,3,0,4,0,5,19,0
233,Edgardo Rivera,Fiji,28,Advertising Executive,"Miami Beach, FL",Moto,Green,1,Bula Bula,Purple,9,5,4,5,0,5,0,5,19,0
234,Mookie Lee,Fiji,24,Business Consultant,"Chicago, IL",Ravu,Orange,1,Bula Bula,Purple,8,10,5,6,0,1,0,10,19,0
235,Alex Angarita,Fiji,28,Lawyer,"Los Angeles, CA",Moto,Green,1,Bula Bula,Purple,7,8,6,9,0,4,0,8,19,1
236,Stacy Kimball,Fiji,27,Web Producer,"Boulder, CO",Moto,Green,1,Bula Bula,Purple,6,6,4,4,0,7,1,6,19,0
237,Boo Bernis,Fiji,34,Construction Worker,"Lafayette, LA",Moto,Green,1,Bula Bula,Purple,5,6,4,5,0,8,2,6,19,0
238,Yau-Man Chan,Fiji,54,Internet Technology Director,"Martinez, CA",Ravu,Orange,1,Bula Bula,Purple,4,10,8,9,4,5,2,10,19,1
239,Cassandra Franklin,Fiji,42,College Administrator,"Los Angeles, CA",Moto,Green,1,Bula Bula,Purple,3,7,6,5,0,8,0,7,19,0
240,Dreamz Herd,Fiji,24,Cheerleading Coach,"Wilmington, NC",Moto,Green,1,Bula Bula,Purple,2,11,9,2,0,4,1,11,19,0
241,Earl Cole,Fiji,35,Advertising Executive,"Santa Monica, CA",Ravu,Orange,1,Bula Bula,Purple,1,9,8,1,0,5,0,9,19,0
242,Chicken Morris,China,47,Chicken Farmer,"Marion, VA",Zhan Hu,Yellow,0,No Merge,N/A,16,1,0,5,0,0,0,1,16,0
243,Ashley Massaro,China,28,Professional Wrestler,"East Northport, NY",Zhan Hu,Yellow,0,No Merge,N/A,15,2,0,8,0,0,0,2,16,0
244,Leslie Nease,China,38,Christian Radio Host,"Tega Cay, SC",Fei Long,Red,0,No Merge,N/A,14,1,0,6,0,2,0,1,16,0
245,Dave Cruser,China,37,Former Model,"Simi Valley, CA",Zhan Hu,Yellow,0,No Merge,N/A,13,3,1,6,0,1,0,3,16,0
246,Aaron Reisberger,China,32,Surfing Instructor,"Venice, CA",Fei Long,Red,1,No Merge,N/A,12,2,1,3,0,3,0,2,16,0
247,Sherea Lloyd,China,25,Elementary Teacher,"Atlanta, GA",Zhan Hu,Yellow,1,No Merge,N/A,11,4,3,6,0,2,0,4,16,0
248,Jaime Dugan,China,21,Student,"Columbia, SC",Zhan Hu,Yellow,1,Hae De Fung,Black,10,5,4,7,0,2,0,5,16,0
249,Jean-Robert Bellande,China,36,Professional Poker Player,"Las Vegas, NV",Fei Long,Red,1,Hae De Fung,Black,9,4,3,12,0,4,0,4,16,0
250,Frosti Zernow,China,20,Student/Athelete,"Chicago, IL",Zhan Hu,Yellow,1,Hae De Fung,Black,8,7,6,7,0,2,1,7,16,0
251,James Clement,China,30,Gravedigger,"Lafayette, LA",Fei Long,Red,1,Hae De Fung,Black,7,6,4,9,0,4,0,6,16,0
252,Erik Huffman,China,26,Musician,"Nashville, TN",Zhan Hu,Yellow,1,Hae De Fung,Black,6,9,7,5,0,2,1,9,16,0
253,Peih-Gee Law,China,29,Jeweler,"Marina del Ray, CA",Zhan Hu,Yellow,1,Hae De Fung,Black,5,10,5,8,0,2,2,10,16,0
254,Denise Martin,China,40,School Lunch Lady,"Douglas, MA",Fei Long,Red,1,Hae De Fung,Black,4,9,7,3,0,4,0,9,16,0
255,Amanda Kimmel,China,22,Hiking Guide,"Los Angeles, CA",Fei Long,Red,1,Hae De Fung,Black,3,9,9,0,0,4,2,9,16,0
256,Courtney Yates,China,26,Waitress,"New York City, NY",Fei Long,Red,1,Hae De Fung,Black,2,9,7,0,0,4,1,9,16,0
257,Todd Herzog,China,22,Flight Attendant,"Pleasant Grove, UT",Fei Long,Red,1,Hae De Fung,Black,1,9,9,5,0,4,0,9,16,0
258,"Jon ""Jonny Fairplay"" Dalton",Micronesia,33,Returning Player,"Los Angeles, CA",Malakal,Purple,0,No Merge,N/A,20,1,0,9,0,0,0,1,20,0
259,Mary Sartain,Micronesia,28,Real Estate Manager,"Emeryville, CA",Airai,Orange,0,No Merge,N/A,19,1,0,6,0,1,0,1,20,0
260,Yau-Man Chan,Micronesia,55,Returning Player,"Martinez, CA",Malakal,Purple,0,No Merge,N/A,18,2,1,6,0,1,1,2,20,0
261,Mikey Bortone,Micronesia,33,Aspiring Writer,"Los Angeles, CA",Airai,Orange,0,No Merge,N/A,17,2,0,6,0,2,0,2,20,0
262,Joel Anderson,Micronesia,32,Firefighter,"Avondale, AZ",Airai,Orange,1,No Merge,N/A,16,4,1,6,0,2,0,3,20,0
263,Jonathan Penner,Micronesia,45,Returning Player,"Los Angeles, CA",Malakal,Purple,1,No Merge,N/A,15,2,1,0,0,2,0,2,20,0
264,Chet Welch,Micronesia,48,Pageant Coach,"Ford City, PA",Airai,Orange,1,No Merge,N/A,14,4,3,15,0,2,0,4,20,0
265,Kathy Sleckman,Micronesia,45,Golf Course Vendor,"Glen Ellyn, IL",Airai,Orange,1,No Merge,N/A,13,3,3,0,0,4,1,2,20,0
266,Tracy Hughes-Wolf,Micronesia,43,Residental Builder,"Fredericksburg, VA",Airai,Orange,1,No Merge,N/A,12,6,4,7,0,2,0,5,20,0
267,Ami Cusack,Micronesia,34,Returning Player,"Golden, CO",Malakal,Purple,1,No Merge,N/A,11,6,4,4,0,2,0,6,20,0
268,Eliza Orlins,Micronesia,24,Returning Player,"Manhattan, NY",Malakal,Purple,1,Dabu,Green,10,3,2,8,0,6,0,3,20,0
269,Ozzy Lusth,Micronesia,26,Returning Player,"Venice, CA",Malakal,Purple,1,Dabu,Green,9,8,7,9,0,2,1,8,20,0
270,Jason Siska,Micronesia,22,Gymnastics Coach,"Fox River Grove, IL",Airai,Orange,1,Dabu,Green,8,6,1,9,0,6,1,5,20,0
271,James Clement,Micronesia,30,Returning Player,"Lafayette, LA",Malakal,Purple,1,Dabu,Green,7,5,3,3,0,6,0,5,20,0
272,Alexis Jones,Micronesia,24,Motivational Speaker,"Beverly Hills, CA",Airai,Orange,1,Dabu,Green,6,7,4,2,0,6,1,6,20,0
273,Erik Reichenbach,Micronesia,21,Ice Cream Scooper,"Ypsilanti, MI",Airai,Orange,1,Dabu,Green,5,12,7,7,0,2,2,11,20,0
274,Natalie Bolton,Micronesia,31,Personal Trainer,"West Hollywood, CA",Airai,Orange,1,Dabu,Green,4,9,7,3,0,6,1,8,20,0
275,Cirie Fields,Micronesia,37,Returning Player,"Norwalk, CT",Malakal,Purple,1,Dabu,Green,3,12,10,3,0,2,0,13,20,0
276,Amanda Kimmel,Micronesia,23,Returning Player,"Los Angeles, CA",Malakal,Purple,1,Dabu,Green,2,13,12,4,4,2,2,13,20,1
277,Parvati Shallow,Micronesia,25,Returning Player,"Los Angeles, CA",Malakal,Purple,1,Dabu,Green,1,8,8,4,0,6,1,9,20,0
278,Michelle Chase,Gabon,24,Music Producer,"Los Angeles, CA",Fang,Red,0,No Merge,N/A,18,1,0,8,0,0,0,1,18,0
279,Gillian Larson,Gabon,61,Retired Nurse,"Temecula, CA",Fang,Red,0,No Merge,N/A,17,2,1,8,0,0,0,2,18,0
280,Paloma Soto-Castillo,Gabon,23,Student,"Downey, CA",Kota,Yellow,0,No Merge,N/A,16,1,0,7,0,2,0,1,18,0
281,Jacquie Berg,Gabon,25,Medical Saleswoman,"Santa Barbara, CA",Kota,Yellow,1,No Merge,N/A,15,2,1,5,0,2,0,2,18,0
282,GC Brown,Gabon,25,Maintenance Man,"Portland, OR",Fang,Red,1,No Merge,N/A,14,4,3,6,0,1,0,4,18,0
283,Kelly Czarnecki,Gabon,22,Retail Saleswoman,"Buffalo Grobe, IL",Kota,Yellow,1,No Merge,N/A,13,4,2,8,0,2,0,4,18,0
284,Ace Gordon,Gabon,27,Jewelry Salesman/Photographer,"Naples, FL",Kota,Yellow,1,No Merge,N/A,12,5,3,5,0,2,0,5,18,0
285,Dan Kay,Gabon,31,Lawyer,"Boston, MA",Fang,Red,1,No Merge,N/A,11,3,2,4,0,4,0,3,18,0
286,Marcus Lehman,Gabon,28,Doctor,"Atlanta, GA",Kota,Yellow,2,No Merge,N/A,10,3,1,3,0,5,1,3,18,0
287,Charlie Herschel,Gabon,29,Lawyer,"New York City, NY",Kota,Yellow,2,Nobag,Blue,9,3,2,5,0,6,0,3,18,0
288,Randy Bailey,Gabon,49,Wedding Videographer,"Eagle Rock, MO",Fang,Red,2,Nobag,Blue,8,5,2,5,0,5,0,5,18,0
289,Corinne Kaplan,Gabon,29,Pharmaceutical Saleswoman,"Los Angeles, CA",Kota,Yellow,2,Nobag,Blue,7,5,2,4,0,6,0,5,18,0
290,Crystal Cox,Gabon,29,Olympic Gold Medalist,"Durham, NC",Fang,Red,2,Nobag,Blue,6,11,10,11,0,1,0,11,18,0
291,Ken Hoang,Gabon,22,Professional Gamer,"Westminster, CA",Fang,Red,2,Nobag,Blue,5,12,9,7,0,1,1,12,18,0
292,Matty Whitmore,Gabon,29,Personal Trainer,"Pacific Palisades, CA",Fang,Red,2,Nobag,Blue,4,12,10,7,2,2,0,12,18,1
293,Sugar Kiper,Gabon,29,Pin-up Model,"Brooklyn, NY",Kota,Yellow,2,Nobag,Blue,3,10,10,0,0,3,1,10,18,0
294,Susie Smith,Gabon,47,Hairdresser,"Charles City, IA",Fang,Red,2,Nobag,Blue,2,10,9,7,0,4,2,10,18,0
295,Bob Crowley,Gabon,57,Physics Teacher,"Portland, ME",Kota,Yellow,2,Nobag,Blue,1,9,4,2,0,5,3,9,18,0
296,Carolina Eastwood,Tocantins,27,Bartender,"West Hollywood, CA",Jalapao,Red,0,No Merge,N/A,16,1,0,7,0,0,0,1,16,0
297,Candice Smith,Tocantins,31,Attorney,"Los Angeles, CA",Timbira,Black,0,No Merge,N/A,15,1,0,7,0,1,0,1,16,0
298,Jerry Sims,Tocantins,49,U.S. Army Sergeant,"Rock Hill, SC",Timbira,Black,0,No Merge,N/A,14,2,1,6,0,1,0,2,16,0
299,Sandy Burgin,Tocantins,53,Bus Driver,"Louisville, KY",Jalapao,Red,0,No Merge,N/A,13,2,1,6,0,2,0,2,16,0
300,Spencer Duhm,Tocantins,18,Student,"Gainesville, FL",Jalapao,Red,0,No Merge,N/A,12,3,2,5,0,2,0,3,16,0
301,Sydney Wheeler,Tocantins,24,Model,"San Diego, CA",Jalapao,Red,0,No Merge,N/A,11,4,3,4,0,2,0,4,16,0
302,Joe Dowdle,Tocantins,26,Real Estate Salesman,"Austin, TX",Jalapao,Red,0,Forza,Green,10,4,3,1,0,2,0,4,16,0
303,Brendan Synnott,Tocantins,30,Entrepreneur,"Vail, CO",Timbira,Black,0,Forza,Green,9,3,2,4,0,4,0,3,16,0
304,Tyson Apostol,Tocantins,29,Professional Cyclist,"Heber City, UT",Timbira,Black,0,Forza,Green,8,4,2,5,0,4,2,4,16,0
305,Sierra Reed,Tocantins,23,Model,"Los Angeles, CA",Timbira,Black,0,Forza,Green,7,5,3,11,0,4,0,5,16,0
306,Debbie Beebe,Tocantins,46,School Principal,"Auburn, AL",Timbira,Black,0,Forza,Green,6,6,4,6,0,4,1,6,16,0
307,Coach Wade,Tocantins,37,Soccer Coach,"Bolivar, MO",Timbira,Black,0,Forza,Green,5,7,4,6,0,4,1,7,16,0
308,Taj Johnson-George,Tocantins,37,Former Pop Star,"Nashville, TN",Jalapao,Red,0,Forza,Green,4,10,7,7,0,2,0,10,16,0
309,Erinn Lobdell,Tocantins,26,Hairstylist,"Milwaukee, WI",Timbira,Black,0,Forza,Green,3,8,6,5,0,4,0,9,16,0
310,Stephen Fishbach,Tocantins,29,Corporate Consultant,"New York City, NY",Jalapao,Red,0,Forza,Green,2,10,10,1,0,2,1,11,16,0
311,J.T. Thomas,Tocantins,24,Cattle Rancher,"Mobile, AL",Jalapao,Red,0,Forza,Green,1,11,10,0,0,2,3,11,16,0
312,Marisa Calihan,Samoa,25,Student,"Cincinatti, OH",Foa Foa,Yellow,0,No Merge,N/A,20,1,0,7,0,0,0,1,20,0
313,Mike Borassi,Samoa,62,Personal Chef,"Marina del Ray, CA",Foa Foa,Yellow,0,No Merge,N/A,19,1,1,0,0,0,0,1,20,0
314,Betsy Bolan,Samoa,48,Police Officer,"Campton, NH",Foa Foa,Yellow,0,No Merge,N/A,18,2,0,7,0,0,0,2,20,0
315,Ben Browning,Samoa,28,Bar Manager,"Los Angeles, CA",Foa Foa,Yellow,0,No Merge,N/A,17,3,2,7,0,0,0,3,20,0
316,Yasmin Giles,Samoa,33,Hairstylist,"Los Angeles, CA",Galu,Purple,0,No Merge,N/A,16,1,0,8,0,3,0,1,20,0
317,Ashley Trainer,Samoa,22,Spa Saleswoman,"Maple Grove, MN",Foa Foa,Yellow,0,No Merge,N/A,15,4,3,9,0,1,0,4,20,0
318,Russell Swan,Samoa,42,Attorney,"Glenside, PA",Galu,Purple,0,No Merge,N/A,14,1,1,0,0,4,0,1,20,0
319,Liz Kim,Samoa,33,Urban Planner,"New York City, NY",Foa Foa,Yellow,0,No Merge,N/A,13,5,4,5,0,1,0,5,20,0
320,Erik Cardona,Samoa,28,Bartender,"Los Angeles, CA",Galu,Purple,0,Aiga,Blue,12,2,1,10,0,5,0,2,20,0
321,Kelly Sharbaugh,Samoa,25,Hairstylist,"San Diego, CA",Galu,Purple,0,Aiga,Blue,11,3,2,4,0,5,0,3,20,0
322,Laura Morett,Samoa,39,Office Manager,"Salem, OR",Galu,Purple,0,Aiga,Blue,10,4,2,10,0,5,2,4,20,0
323,John Fincher,Samoa,25,Rocket Scientist,"Santa Monica, CA",Galu,Purple,0,Aiga,Blue,9,6,3,7,0,5,1,5,20,0
324,Dave Ball,Samoa,38,Fitness Instructor,"Los Angeles, CA",Galu,Purple,0,Aiga,Blue,8,7,3,8,0,5,0,6,20,0
325,Monica Padilla,Samoa,24,Law Student,"San Diego, CA",Galu,Purple,0,Aiga,Blue,7,8,4,7,0,5,0,7,20,0
326,Shambo Waters,Samoa,45,Saleswoman,"Renton, WA",Galu,Purple,0,Aiga,Blue,6,9,4,6,0,5,0,8,20,0
327,Jaison Robinson,Samoa,28,Law Student,"Chicago, IL",Foa Foa,Yellow,0,Aiga,Blue,5,14,13,7,0,1,2,13,20,0
328,Brett Clouser,Samoa,23,T-shirt Designer,"Los Angeles, CA",Galu,Purple,0,Aiga,Blue,4,11,6,3,0,5,3,10,20,0
329,Mick Trimming,Samoa,33,Doctor,"Los Angeles, CA",Foa Foa,Yellow,0,Aiga,Blue,3,15,14,4,0,1,1,14,20,0
330,Russell Hantz,Samoa,36,Oil Company Owner,"Dayton, TX",Foa Foa,Yellow,0,Aiga,Blue,2,15,15,9,7,1,1,14,20,2
331,Natalie White,Samoa,26,Pharmaceutical Saleswoman,"Van Buren, AR",Foa Foa,Yellow,0,Aiga,Blue,1,14,14,8,0,1,0,14,20,0
332,Sugar Kiper,Heroes vs. Villains,30,Returning Player,"Los Angeles, CA",Heroes,Blue,0,No Merge,N/A,20,1,0,9,0,0,0,1,20,0
333,Stephenie LaGrossa,Heroes vs. Villains,29,Returning Player,"Philadelphia, PA",Heroes,Blue,0,No Merge,N/A,19,2,1,6,0,0,0,2,20,0
334,Randy Bailey,Heroes vs. Villains,50,Returning Player,"Austin, TX",Villains,Red,0,No Merge,N/A,18,1,0,9,0,2,0,1,20,0
335,Cirie Fields,Heroes vs. Villains,39,Returning Player,"Norwalk, CT",Heroes,Blue,0,No Merge,N/A,17,3,2,3,0,1,0,3,20,0
336,Tom Westman,Heroes vs. Villains,45,Returning Player,"New York City, NY",Heroes,Blue,0,No Merge,N/A,16,4,2,8,3,1,0,4,20,1
337,Tyson Apostol,Heroes vs. Villains,30,Returning Player,"Heber City, UT",Villains,Red,0,No Merge,N/A,15,2,1,3,0,4,0,2,20,0
338,James Clement,Heroes vs. Villains,32,Returning Player,"Lafayette, LA",Heroes,Blue,0,No Merge,N/A,14,5,3,7,0,1,0,5,20,0
339,Rob Mariano,Heroes vs. Villains,33,Returning Player,"Pensacola, FL",Villains,Red,0,No Merge,N/A,13,3,1,5,0,4,1,3,20,0
340,Coach Wade,Heroes vs. Villains,37,Returning Player,"Susanville, CA",Villains,Red,0,No Merge,N/A,12,4,1,4,0,4,0,4,20,0
341,Courtney Yates,Heroes vs. Villains,28,Returning Player,"New York City, NY",Villains,Red,0,No Merge,N/A,11,5,2,9,0,4,0,5,20,0
342,J.T. Thomas,Heroes vs. Villains,25,Returning Player,"Mobile, AL",Heroes,Blue,0,Yin Yang,Black,10,6,5,5,0,4,0,6,20,0
343,Amanda Kimmel,Heroes vs. Villains,25,Returning Player,"Los Angeles, CA",Heroes,Blue,0,Yin Yang,Black,9,7,4,10,0,4,0,7,20,0
344,Candice Woodcock,Heroes vs. Villains,26,Returning Player,"Washington, DC",Heroes,Blue,0,Yin Yang,Black,8,8,5,5,0,4,1,8,20,0
345,Danielle DiLorenzo,Heroes vs. Villains,28,Returning Player,"Los Angeles, CA",Villains,Red,0,Yin Yang,Black,7,9,7,4,0,4,1,9,20,0
346,Rupert Boneham,Heroes vs. Villains,45,Returning Player,"Indianapolis, IN",Heroes,Blue,0,Yin Yang,Black,6,10,6,10,0,4,0,10,20,0
347,Colby Donaldson,Heroes vs. Villains,35,Returning Player,"Los Angeles, CA",Heroes,Blue,0,Yin Yang,Black,5,11,6,7,0,4,0,11,20,0
348,Jerri Manthey,Heroes vs. Villains,38,Returning Player,"Los Angeles, CA",Villains,Red,0,Yin Yang,Black,4,12,9,9,5,4,1,12,20,0
349,Russell Hantz,Heroes vs. Villains,36,Returning Player,"Dayton, TX",Villains,Red,0,Yin Yang,Black,3,12,11,5,0,4,2,12,20,1
350,Parvati Shallow,Heroes vs. Villains,26,Returning Player,"Los Angeles, CA",Villains,Red,0,Yin Yang,Black,2,12,10,8,4,4,3,12,20,3
351,Sandra Diaz-Twine,Heroes vs. Villains,35,Returning Player,"Fayetteville, NC",Villains,Red,0,Yin Yang,Black,1,12,9,3,2,4,0,12,20,1
352,Wendy DeSmidt-Kohlhoff,Nicaragua,48,Goat Rancher,"Fromberg, MT",Espada,Blue,0,No Merge,N/A,20,1,0,9,0,0,0,1,20,0
353,Shannon Elkins,Nicaragua,30,Pest Control Company Owner,"Lafayette, LA",La Flor,Yellow,0,No Merge,N/A,19,1,0,7,0,1,0,1,20,0
354,Jimmy Johnson,Nicaragua,66,Former NFL Coach,"Islamorada, FL",Espada,Blue,0,No Merge,N/A,18,2,1,8,0,1,0,2,20,0
355,Jimmy Tarantino,Nicaragua,47,Commericial Fisherman,"Gloucester, MA",Espada,Blue,0,No Merge,N/A,17,3,2,5,0,1,0,3,20,0
356,Tyrone Davis,Nicaragua,42,Fire Captain,"Inglewood, CA",Espada,Blue,1,No Merge,N/A,16,4,3,6,0,1,0,4,20,0
357,Kelly Bruno,Nicaragua,26,Medical Student,"Durham, NC",La Flor,Yellow,1,No Merge,N/A,15,2,1,8,0,4,0,2,20,0
358,Yve Rojas,Nicaragua,41,Homemaker,"Kansas City, MO",Espada,Blue,1,No Merge,N/A,14,5,3,7,0,1,0,5,20,0
359,Jill Behm,Nicaragua,43,ER Doctor,"Erie, PA",Espada,Blue,1,No Merge,N/A,13,6,4,3,0,2,1,5,20,0
360,Alina Wilson,Nicaragua,23,Art Student,"Downey, CA",La Flor,Yellow,1,Libertad,Red,12,4,2,10,0,4,0,4,20,0
